2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ✅ LLM клиент инициализирован (https://routerai.ru/v1)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [10] Обработка: Saudi Airlines частично возобновит полеты в Дубай с 7 марта
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Saudi Airlines частично возобновит полеты в Дубай 
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    | 📂 Категория: ECONOMY
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | ⏭️ Пропущена старая новость (3.0ч > 3ч): Проект «Жить» запустил флешмоб в поддержку российс
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | 📰 economy: найдено 29 новостей за последние 3ч
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [1] Обработка: Трамп считает, что капитуляция Ирана возможна при утрате им 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Трамп считает, что капитуляция Ирана возможна при 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [2] Обработка: В Сумах произошел взрыв
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: В Сумах произошел взрыв
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [3] Обработка: В Воронеже объявили угрозу непосредственного удара БПЛА
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: В Воронеже объявили угрозу непосредственного удара
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [4] Обработка: Центр Израиля подвергся еще одному обстрелу из Ирана
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Центр Израиля подвергся еще одному обстрелу из Ира
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [5] Обработка: Подполье: ВСУ отвлекают внимание от своих неудач обстрелом ж
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Подполье: ВСУ отвлекают внимание от своих неудач о
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [6] Обработка: Росстандарт разрабатывает ГОСТ на отечественные игристые вин
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Росстандарт разрабатывает ГОСТ на отечественные иг
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [7] Обработка: Генштаб Ирана: Тегеран сделает невозможной "агрессию Вашингт
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Генштаб Ирана: Тегеран сделает невозможной "агресс
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [8] Обработка: CNN: страны Персидского залива рассматривают отказ от зарубе
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: CNN: страны Персидского залива рассматривают отказ
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [9] Обработка: Reuters: США хотят, чтобы Шри-Ланка не возвращала в Иран мор
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Reuters: США хотят, чтобы Шри-Ланка не возвращала 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [10] Обработка: Saudi Airlines частично возобновит полеты в Дубай с 7 марта
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Saudi Airlines частично возобновит полеты в Дубай 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | ============================================================
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | ✅ Цикл завершён
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | ============================================================
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | 🛑 Получен сигнал завершения...
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | 🔄 Закрытие HTTP сессии...
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | 💾 Сохранён LLM кэш в llm_cache_urgent.pkl (0 записей)
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | 📊 Отключение Prometheus метрик...
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | 🛑 Graceful shutdown метрик для urgent...
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | ✅ Метрики urgent остановлены
2026-03-06T20:11:52: 2026-03-06 20:11:52 | INFO    | ✅ UrgentNewsBot корректно остановлен
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ✅ LLM клиент инициализирован (https://routerai.ru/v1)
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ✅ Глобальная дедупликация инициализирована
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ✅ БД urgent_news инициализирована
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | 💾 Загружен LLM кэш из llm_cache_urgent.pkl (0 записей)
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ✅ UrgentNewsBot инициализирован
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | 🚀 Запуск UrgentNewsBot...
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ============================================================
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | 🔄 Проверка срочных новостей...
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | ============================================================
2026-03-06T20:53:00: 2026-03-06 20:53:00 | INFO    | 📂 Категория: POLITICS
2026-03-06T20:53:06: 2026-03-06 20:53:05 | INFO    | 📰 politics: найдено 30 новостей за последние 3ч
2026-03-06T20:53:06: 2026-03-06 20:53:05 | INFO    |    [1] Обработка: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [2] Обработка: В Эрбиле сообщили о сбитом близ гостиницы беспилотнике
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Эрбиле сообщили о сбитом близ гостиницы беспилот
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [3] Обработка: В Пензенской области объявили беспилотную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Пензенской области объявили беспилотную опасност
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [4] Обработка: Огонь Паралимпийских игр 2026 года зажгли на церемонии откры
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Огонь Паралимпийских игр 2026 года зажгли на церем
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [5] Обработка: Белый дом считает, что США уже завоевали превосходство в неб
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Белый дом считает, что США уже завоевали превосход
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [6] Обработка: Report: сотрудников посольства Азербайджана в Тегеране эваку
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Report: сотрудников посольства Азербайджана в Теге
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [7] Обработка: Катар частично возобновит авиасообщение в своем воздушном пр
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Катар частично возобновит авиасообщение в своем во
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [8] Обработка: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [9] Обработка: В Днепропетровске мужчина ударил ножом сотрудников ТЦК
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Днепропетровске мужчина ударил ножом сотрудников
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [10] Обработка: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    | 📂 Категория: ECONOMY
2026-03-06T20:53:12: 2026-03-06 20:53:12 | INFO    | ⏭️ Пропущена старая новость (3.0ч > 3ч): В Финляндии заявили о готовности к реакции России 
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | 📰 economy: найдено 29 новостей за последние 3ч
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [1] Обработка: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [2] Обработка: В Эрбиле сообщили о сбитом близ гостиницы беспилотнике
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Эрбиле сообщили о сбитом близ гостиницы беспилот
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [3] Обработка: В Пензенской области объявили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Пензенской области объявили беспилотную опасност
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [4] Обработка: Огонь Паралимпийских игр 2026 года зажгли на церемонии откры
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Огонь Паралимпийских игр 2026 года зажгли на церем
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [5] Обработка: Белый дом считает, что США уже завоевали превосходство в неб
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Белый дом считает, что США уже завоевали превосход
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [6] Обработка: Report: сотрудников посольства Азербайджана в Тегеране эваку
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Report: сотрудников посольства Азербайджана в Теге
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [7] Обработка: Катар частично возобновит авиасообщение в своем воздушном пр
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Катар частично возобновит авиасообщение в своем во
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [8] Обработка: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [9] Обработка: В Днепропетровске мужчина ударил ножом сотрудников ТЦК
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Днепропетровске мужчина ударил ножом сотрудников
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [10] Обработка: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ============================================================
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ✅ Цикл завершён
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 🔄 Проверка срочных новостей...
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 📂 Категория: POLITICS
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 📰 politics: найдено 30 новостей за последние 3ч
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [1] Обработка: Владелец "Интер Майами" назвал годовую зарплату Месси
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ Новость отклонена: Владелец "Интер Майами" назвал годовую зарплату Ме
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [2] Обработка: Театр Наций выпустил спектакль о женщинах Горького
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ Новость отклонена: Театр Наций выпустил спектакль о женщинах Горького
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [3] Обработка: Во Владикавказе состоялся премьерный показ комедии "Гордость
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
